,ID,Title,Área industrial,Nombre empresa,Logotipo,Descripción empresa,Descripción corta empresa,Sector,Actividad,Dirección,Nave,Código Postal,Página web,Email,Teléfono,CIF,CNAE,Enlace Street View,Taxonomía,empresa_mostrar_mapa_lat,empresa_mostrar_mapa_lng
,10036,Cenfarte (Centro Farmaceútico del Norte),Polígono Industrial de Candina,Cenfarte (Centro Farmaceútico del Norte),,,Centro farmacéutico del norte,Distribuidor,Productos farmacéuticos,C/ Rio Pisueña - PI CANDINA,39,39011,,cenfarte@cenfarte.com,942334609,A39000849,Comercio al por mayor de productos farmacéuticos,,Polígono Industrial de Candina,,
,10037,Arcelor Mittal Distribución-Santander,Polígono Industrial de Candina,Arcelor Mittal Distribución-Santander,,,Distribuidor de Acero,Venta,Metales Minerales,C/ Rio Pisueña - PI CANDINA,S/N,39011,,santander.di@arcelormittal.com,942337900,A81046856,Comercio al por mayor de metales y minerales metálicos de España,,Polígono Industrial de Candina,,
,10038,Panusa,Polígono Industrial de Candina,Panusa,,,Panadería,Elaboración,Alimentos,C/ Rio Pisueña - PI CANDINA,S/N,39011,,admon@panusa.es,942335708,B39464623,Fabricación de pan y de productos frescos de panadería y pastelería,,Polígono Industrial de Candina,,
,10039,Distribuciones Corla,Polígono Industrial de Candina,Distribuciones Corla,,,Tienda de vinos,Almacén,Bebidas,C/ Concejo - PI CANDINA,S/N,39011,,info@corla.es,942337272,B39339106,Comercio al por mayor de bebidas,,Polígono Industrial de Candina,,
,10040,Automoción Garaje Sancho SAAB,Polígono Industrial de Candina,Automoción Garaje Sancho SAAB,,,Concesionario automóviles Santander,Concesionario,Automóviles,Av. Candina - PI CANDINA,S/N,39011,,garagesancho@infonegocio.com,942336022,A39018411,Mantenimiento y reparación de vehículos de motor,,Polígono Industrial de Candina,,
,10041,Vidrios Cobo,Polígono Industrial de Candina,Vidrios Cobo,,,Cristalero,Tienda,Cristalería,C/ Rio Pas - PI CANDINA,69B,39011,,vidrioscobo@vidrioscobo.com,942578226,A39234034,Manipulado y transformación de vidrio plano,,Polígono Industrial de Candina,,
,10042,HidroCantabria S.L.,Polígono Industrial de Candina,HidroCantabria S.L.,,,Tienda de Electricidad,Almacén,Electricidad,C/ Rio Pas - PI CANDINA,8,39011,,info@hidrocantabria.com,942347777,B39885504,Comercio al por mayor de otra maquinaria y equipo,,Polígono Industrial de Candina,,
,10043,Saltoki Materiales de Construcción,Polígono Industrial de Candina,Saltoki Materiales de Construcción,,,Tienda de materiales de construcción,Oficios / Construcción,Materiales,C/ Rio Pas - PI CANDINA,Naves 22 Y 24,39011,,cantabria@saltoki.es,942333902,A39673942,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",,Polígono Industrial de Candina,,
,10044,Talleres Oran S.L.,Polígono Industrial de Candina,Talleres Oran S.L.,,,"Servicio de estampado, moldeo, y troquelado de metales en Santander",Taller,Carpintería Metálica,C/ Rio Besaya - PI CANDINA,15,39011,,oran@oranauto.com,942323968,B39733746,"Forja, estampación y embutición de metales; metalurgia de polvos",,Polígono Industrial de Candina,,
,10045,AD Cantabria,Polígono Industrial de Candina,AD Cantabria,,,Tienda de repuestos de automóviles usados en Santander,Repuestos,Automóviles,Av. Candina - PI CANDINA,S/N,39011,,administracion@adcantabria.es,942337676,A39028998,Comercio al por mayor de repuestos y accesorios de vehículos de motor,,Polígono Industrial de Candina,,
,10046,MRW   yo tengo DHL,Polígono Industrial de Candina,MRW,,,Paquetería,Mensajería,,C/ Pintor - PI CANDINA,Nave 2,39011,,03600@grupomrw.com,942354415,H39494364,Otras actividades postales y de correos,,Polígono Industrial de Candina,,
,10047,Alquiler Furgonetas Santander Hertz,Polígono Industrial de Candina,Alquiler Furgonetas Santander Hertz,,,Agencia de alquiler de furgonetas en Santander,Alquiler,Vehículos,C/ Gerardo de Alvear - PI CANDINA,S/N,39011,,,667873210,B28121549,,,Polígono Industrial de Candina,,
,10048,Pro Box Santander,Polígono Industrial de Candina,Pro Box Santander,,,Gimnasio en Santander,Gimnasio,,Av. Candina - PI CANDINA,21,39011,,info@probox-santander.com,690000618,B39786926,,,Polígono Industrial de Candina,,
,10049,Saltoki,Polígono Industrial de Candina,Saltoki,,,Tienda de artículos de fontanería en Santander,Oficios / Construcción,Materiales,Av. Candina - PI CANDINA,22,39011,,cantabria@saltoki.es,942333902,H39673942,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",,Polígono Industrial de Candina,,
,10050,Nacex,Polígono Industrial de Candina,Nacex,,,Paquetería,Mensajería,,Av. Candina - PI CANDINA,20,39011,,atencion.cliente@nacex.com,942345353,B62745765,Otras actividades anexas al transporte,,Polígono Industrial de Candina,,
,10051,Petroprix,Polígono Industrial de Candina,Petroprix,,,Gasolinera,Gasolinera,,Av. Candina - PI CANDINA,15,39011,,info@petroprix.com,953900009,B23709892,Comercio al por menor de combustible para la automoción en establecimientos especializados,,Polígono Industrial de Candina,,
,10052,Cafetería Avenida Candina,Polígono Industrial de Candina,Cafetería Avenida Candina,,,Cafetería,Hostelería,Cafetería,Av. Candina - PI CANDINA,6,39011,,osmancabadakantalya@gmail.com,942301768,B39710702,Establecimientos de bebidas,,,,
,10053,Lostal,Polígono Industrial de Candina,Lostal,,,Proveedor de materiales y almacén de construcción en Santander,Oficios / Construcción,Materiales,Av. Candina - PI CANDINA,9,39011,,correo@lostal.com,942335300,H39004007,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",,,,
,10054,Ambuiberica Santander,Polígono Industrial de Candina,Ambuiberica Santander,,,Servicio Ambulancias en Santander,Transporte,Ambulancias,Av. Candina - PI CANDINA,20,39011,,jlera@ambuiberica.es,902999852 / 942320859,B24043341,Otras actividades sanitarias,,,,
,10055,Amichi Serigrafía,Polígono Industrial de Candina,Amichi Serigrafía,,,Impresora de pantallas en Santander,Imprenta,,Av. Candina - PI CANDINA,24,39011,,sarabia@amichiserigrafia.com,942324913,H39412671,Otras actividades de impresión y artes gráficas,,,,
,10056,Herveluz,Polígono Industrial de Candina,Herveluz,,,Tienda de materiales para la construcción en Santander,Almacén,Electricidad,C/ Peña Sagra - PI CANDINA,4,39011,,herveluz@herveluz.com,942320132,H39332234,Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes,,,,
,10057,Isquion Marketing Médico,Polígono Industrial de Candina,Isquion Marketing Médico,,,Diseñador web en Santander,Marketing,Médico,C/ Peña Sagra - PI CANDINA,2,39011,,ecommerce.sdr@gmail.com,942766476,B39793096,Comercio al por menor por correspondencia o Internet,,,,
camargo,10058,Chiwawap,Polígono Industrial de Candina,Chiwawap,,,"Productos de limpieza, higiene y desechables ecológicos.",Almacén,Productos limpieza,C/ Gerardo de Alvear - PI CANDINA,6,39011,,info@chiwawap.com,942104884,B39848049,Comercio al por mayor de productos de perfumería y cosmética,,,,
,10059,Maderas Candina Carpintería interior,Polígono Industrial de Candina,Maderas Candina Carpintería interior,,,Interiorista en Santander,Fábrica,Muebles,C/ Gerardo de Alvear - PI CANDINA,5,39011,,maderascandina@gmail.com,942552529,B39851340,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,,,,
,10060,Noldemann,Polígono Industrial de Candina,Noldemann,,,Servicio de comercio electrónico en Santander,,,Av. Candina - PI CANDINA,122 E,39011,,,,,,,,,
,10061,Talleres Manolo,Polígono Industrial de Candina,Talleres Manolo,,,Taller mecánico en Santander,Taller,Automóviles,Av. Candina - PI CANDINA,3,39011,,talleresmanolosc@gmail.com,663712042,J39616834,Mantenimiento y reparación de vehículos de motor,,,,
,10062,Würth,Polígono Industrial de Candina,Würth,,,Empresa de suministros industriales en Santander,Oficios / Construcción,Materiales,C/ Peña Sagra - PI CANDINA,"2, Nave 3",39011,,asantander@wurth.es,942981506,A08472276,"Comercio al por mayor de ferretería, fontanería y calefacción",,,,
,10063,Davasa Automoción,Polígono Industrial de Candina,Davasa Automoción,,,Proveedor de repuestos de carrocería de automóviles en España,Repuestos,Automóviles,Av. Candina - PI CANDINA,S/N,39011,,santander@davasa.es,942886526,B05550330,Comercio al por mayor de repuestos y accesorios de vehículos de motor,,,,
,10064,Taller Axa Calidad - Domingo Pardo,Polígono Industrial de Candina,Taller Axa Calidad - Domingo Pardo,,,Taller de chapa y pintura en Santander,Taller,Automóviles,Av. Candina - PI CANDINA,28,39011,,info@talleresdomingopardo.es,942355090,B39098173,Mantenimiento y reparación de vehículos de motor,,,,
,10065,Cercha Obras Especiales,Polígono Industrial de Candina,Cercha Obras Especiales,,,Contratista de aislamiento en Santander,Oficios / Construcción,Cubiertas,C/ Peña Sagra - PI CANDINA,2 F,39011,,cercha@gmail.com,942325505,B39427141,Construcción de cubiertas,,,,
,10066,Texeira Compraventa Coches Ibéricos S.L.,Polígono Industrial de Candina,Texeira Compraventa Coches Ibéricos S.L.,,,Exportador de vehículos en Santander,Concesionario,Automóviles,C/ Gerardo de Alvear - PI CANDINA,S/N,39011,,,604250976,B39829734,Venta de automóviles y vehículos de motor ligeros,,,,
,10067,Taller Galindo,Polígono Industrial de Candina,Taller Galindo,,,Taller de reparación de automóviles en Santander,Taller,Automóviles,C/ Gerardo de Alvear - PI CANDINA,15,39011,,,942376758,,Mantenimiento y reparación de vehículos de motor,,,,
,10068,Cafetería Altamira,Polígono Industrial de Candina,Cafetería Altamira,,,Bar,Hostelería,Cafetería,C/ Gerardo de Alvear - PI CANDINA,13B,39011,,,942338969,,,,,,
,10069,Superpekes,Polígono Industrial de Candina,Superpekes,,,Animación niños,Animación,Infantil,Av. Candina - PI CANDINA,12,39011,,diana@superpekes.com,679911494,71514352S,,,,,
,10070,Diminutos Candina,Polígono Industrial de Candina,Diminutos Candina,,,Guardería,Guardería,,C/ Gerardo de Alvear - PI CANDINA,7,39011,,info@escuelainfantildiminutoscandina.com diminutoscandina@gmail.com,942355865,B39741749,Actividades de cuidado diurno de niños,,,,
,10071,Confort Muebles,Polígono Industrial de Candina,Confort Muebles,,,Tienda de muebles en Santander,Tienda,Muebles,Av. Candina - PI CANDINA,5,39011,,maderascandina@gmail.com,942338827,B39851340,Otras instalaciones en obras de construcción,,,,
,10072,Herrero Transformaciones S.L.,Polígono Industrial de Candina,Herrero Transformaciones S.L.,,,Troquelado de piezas,Taller,Carpintería Metálica,Av. Candina - PI CANDINA,17,39011,,administracion@herrerotransformaciones.es,942346034,B39473772,"Forja, estampación y embutición de metales; metalurgia de polvos",,,,
,10073,Elecnor Alumbrado Público de Santander,Polígono Industrial de Candina,Elecnor Alumbrado Público de Santander,,,,Alumbrado,Público,Av. Candina - PI CANDINA,11,39011,,elecnor@elecnor.com,,A48027056,,,,,
,10074,Santander Berries,Polígono Industrial de Candina,Santander Berries,,,Cultivo de frutas frutos secos especias y cultivos para bebidas,Cultivo,Plantas,Av. Candina - PI CANDINA,20,39011,,,627455901,B39867726,Cultivo de otros árboles y arbustos frutales y frutos secos,,,,
,10075,Taller Alsa,Polígono Industrial de Candina,Taller Alsa,,,Servicio de reparación de camiones en Santander,Taller,Autobuses,Av. Candina - PI CANDINA,35,39011,,jlorenzo@alsa.es,902422242,B39854187,Otros tipos de transporte terrestre de pasajeros n.c.o.p.,,,,
,10076,Recambios Raf Santander,Polígono Industrial de Candina,Recambios Raf Santander,,,Proveedor de repuestos para camiones en Santander,Repuestos,Camiones,C/ Nueve Valles - PI CANDINA,7,39011,,santander@recambiosraf.com,942354021,A24376337,Comercio al por mayor de repuestos y accesorios de vehículos de motor,,,,
,10077,Taller CGA Taller Raly,Polígono Industrial de Candina,Taller CGA Taller Raly,,,Taller de reparación de automóviles en Santander,Taller,Automóviles,C/ Nueve Valles - PI CANDINA,1,39011,,,942370166,,,,,,
,10078,Recambios Arrosam S.L.,Polígono Industrial de Candina,Recambios Arrosam S.L.,,,Tienda de repuestos para automóviles en Santander,Repuestos,Automóviles,C/ Nueve Valles - PI CANDINA,2B,39011,,info@recambiosarrosam.com,942325151,B39809173,Comercio al por mayor de repuestos y accesorios de vehículos de motor,,,,
,10079,Turobotencasa com,Polígono Industrial de Candina,Turobotencasa.com,,,Servicio de reparación de maquinaria agrícola en Santander,Taller,Maquinaria agrícola,Av. Candina - PI CANDINA,39,39011,,,642139159,,,,,,
,10080,El Trastero Americano,Polígono Industrial de Candina,El Trastero Americano,,,Trasteros y almacenamiento en Santander,Alquiler,Trasteros,C/ Real Consulado - PI CANDINA,1,39011,,eltrasteroamericano@gmail.com,722554474 - 942221995,H39788591,Alquiler de bienes inmobiliarios por cuenta propia,,,,
,10081,Altor Alquileres Santander,Polígono Industrial de Candina,Altor Alquileres Santander,,,Agencia de alquiler de equipos en Santander,Alquiler,Maquinaria,C/ Rio Pas - PI CANDINA,2,39011,,alquilersantander@altor.ws,942652315 942830052,B39540695,Alquiler de maquinaria y equipo para la construcción e ingeniería civil,,,,
,10082,El saco útil,Polígono Industrial de Candina,El saco útil,,,Servicio de gestión de residuos en Santander,Gestion,Residuos,C/ Real Consulado - PI CANDINA,4,39011,,sacoutil@sacoutil.com,942314517,B81639270,Recogida de residuos no peligrosos,,,,
,10083,Viesgo Candina Norte,Polígono Industrial de Candina,Viesgo Candina Norte,,,Oficina corporativa en Santander,Oficina,Viesgo,C/ Real Consulado - PI CANDINA,470,39011,,distribucion_viesgo@viesgo.com,900505249,B62733159,Distribución de energía eléctrica,,,,
,10084,Alufasa Fabricados de Aluminio S.L.,Polígono Industrial de Candina,Alufasa Fabricados de Aluminio S.L.,,,Carpintería metálica en Santander,Taller,Carpintería Metálica,C/ Rio Pas - PI CANDINA,12-A,39011,,alufasa@alufasa.com,942341224,B39413539,Fabricación de carpintería metálica,,,,
,10085,Deode,Polígono Industrial de Candina,Deode,,,Fabricante de aparatos electrónicos en Santander,Fábrica,Aparatos eléctricos,C/ Concejo - PI CANDINA,15,39011,,mpineda@deode.es,942807646,B98702624,Fabricación de ordenadores y equipos periféricos,,,,
,10086,Amica,Polígono Industrial de Candina,Amica,,,Organización de asistencia y servicios para personas con discapacidad en Santander,Asociación,Social,C/ Concejo - PI CANDINA,7,39011,,correo@amica.es,942895209 / 630313332,G39041710,Otras actividades asociativas n.c.o.p.,,,,
,10087,Top Cash,Polígono Industrial de Candina,Top Cash,,,Autoservicio mayorista en Santander,Supermercado,,C/ Rio Besaya - PI CANDINA,S/N,39011,,,942322125,B88357322,"Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",,,,
,10088,Sat Santander,Polígono Industrial de Candina,Sat Santander,,,"Servicio Técnico de electrodomésticos, aire acondicionado y calderas en Santander de electrodomésticos",Reparación,Electrodomésticos,Av. Candina - PI CANDINA,20,39011,,,876015896 / 942941178,,Reparación de aparatos electrodomésticos y de equipos para el hogar y el jardín,,,,
,10089,Oran,Polígono Industrial de Candina,Oran,,,"Servicio de estampado, moldeo, y troquelado de metales en Santander",Taller,Carpintería Metálica,C/ Rio Besaya - PI CANDINA,15,39011,,oran@oranauto.com,942323968,B39803580,"Forja, estampación y embutición de metales; metalurgia de polvos",,,,
,10090,Hotel Be 4U Santander,Polígono Industrial de Candina,Hotel Be 4U Santander,,,Hotel,Hostelería,Hotel,Av. Parayas - PI CANDINA,2A,39011,,santander@bed4uhotels.com,942945050,B31881469,Hoteles y alojamientos similares,,,,
,10091,Merkamueble Santander,Polígono Industrial de Candina,Merkamueble Santander,,,"Sofás, colchonería y mobiliario auxiliar en almacén de muebles para hogar y oficina con envío a domicilio",Tienda,Muebles,Av. Parayas - PI CANDINA,4,39011,,santander@centrosmerkamueble.com,942040238,B05186028,,,,,
,10092,Power Wash,Polígono Industrial de Candina,Power Wash,,,Lavado de autos en Santander,Autolavado,Vehículos,Av. Parayas - PI CANDINA,6,39011,,,,,,,,,
,10093,Renault Santander,Polígono Industrial de Candina,Renault Santander,,,Concesionario y taller de automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,10,39011,,vipesa@vipesa.com,942336200,B39540216,Venta de automóviles y vehículos de motor ligeros,,,,
,10094,EasyGas Santander,Polígono Industrial de Candina,EasyGas Santander,,,Gasolinera,Gasolinera,,Av. Parayas - PI CANDINA,12,39011,,,942331170,B23438427,"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares",,,,
,10095,"Subaru Fiat, Abarth, Jeep, Alfa Romeo – Blendio Autogomas Santander",Polígono Industrial de Candina,"Subaru Fiat, Abarth, Jeep, Alfa Romeo – Blendio Autogomas Santander",,,Concesionario automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,14,39011,,gestorcontactosfca@autogomas.com,942352150 - 942352255,A39000575,Venta de automóviles y vehículos de motor ligeros,,,,
,10096,Megamotor Toyota,Polígono Industrial de Candina,Megamotor Toyota,,,Concesionario automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,42,39011,,ventas@mega-motor.com,942324100,B39317797,Venta de automóviles y vehículos de motor ligeros,,,,
,10097,Concesionario oficial Kia – Blendio Numar Motor Santander,Polígono Industrial de Candina,Concesionario oficial Kia – Blendio Numar Motor Santander,,,Concesionario automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,20,39011,,gestorcontactos@numarmotor.es,942331000,B39784277,Venta de automóviles y vehículos de motor ligeros,,,,
,10098,Adarsa Norte Mercedes-Benz Ventas,Polígono Industrial de Candina,Adarsa Norte Mercedes-Benz Ventas,,,Concesionario automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,28,39011,,victor.setien@mercedes-benz.es,942352000,A39001888,Venta de automóviles y vehículos de motor ligeros,,,,
,10099,Autopalas S.A. Aupasa,Polígono Industrial de Candina,Autopalas S.A. Aupasa,,,Concesionario automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,34-36,39011,,autopalas@autopalas.com,942214800,A39013735,Venta de automóviles y vehículos de motor ligeros,,,,
,10100,Tienda Online Skates y Skatepark,Polígono Industrial de Candina,Tienda Online Skates y Skatepark,,,Skate park en Santander,Tienda,Skates,C/ Marie Curie - PI CANDINA,38,39011,,escuelalifesantander@gmail.com,699762930,B39889720,Comercio al por menor de artículos deportivos en establecimientos especializados,,,,
,10101,Concesionario Hyundai Hercos Motor Santander,Polígono Industrial de Candina,Concesionario Hyundai Hercos Motor Santander,,,Concesionario Hyundai en Santander,Concesionario,Automóviles,Av. Parayas - PI CANDINA,7,39011,,hercosparayas@hercosparayas.com,942352424,B39783808,Venta de automóviles y vehículos de motor ligeros,,,,
,10102,Ecrimesa Group,Polígono Industrial de Candina,Ecrimesa Group,,,Empresa de hierros y aceros en Santander,Fábrica,Fundición,Av. Parayas - PI CANDINA,32,39011,,ecrimesa@ecrimesa.es,942334511,A39003355,Fundición de acero,,,,
,10103,Concesionario oficial MG Blendio Birmauto Santander,Polígono Industrial de Candina,Concesionario oficial MG Blendio Birmauto Santander,,,Concesionario de vehículos de motor en Santander,Concesionario,Automóviles,Av. Parayas - PI CANDINA,14,39011,,gestorcontactos@blendiobirmauto.es,842840068,B72627409,Venta de automóviles y vehículos de motor ligeros,,,,
,10104,Porcelanosa,Polígono Industrial de Candina,Porcelanosa,,,Tienda de azulejos en Santander,Oficios / Construcción,Materiales,Av. Parayas - PI CANDINA,48,39011,,tienda@cantabria.porcelanosa.com,942352510,A39454509,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",,,,
,10105,Subaru Comillas Motor,Polígono Industrial de Candina,Subaru Comillas Motor,,,Concesionario automóviles en Santander,Concesionario,Automóviles,Av. Parayas - PI CANDINA,14,39011,,info@comillasmotor.com,942352185,B39776711,Venta de automóviles y vehículos de motor ligeros,,,,
,10106,Volvo Selective Motor,Polígono Industrial de Candina,Volvo Selective Motor,,,Concesionario automóviles en Santander,Concesionario,Automóviles,Av. Parayas - PI CANDINA,14,39011,,info@selectivemotor.com,942352038,B39580592,Venta de automóviles y vehículos de motor ligeros,,,,
,10107,Concesionario Mitsubishi Santander Blendio Devauto Santander,Polígono Industrial de Candina,Concesionario Mitsubishi Santander Blendio Devauto Santander,,,Concesionario automóviles Santander,Concesionario,Automóviles,Av. Parayas - PI CANDINA,16,39011,,jefeventas@blendiodevauto.com,942141930,B39868765,Venta de automóviles y vehículos de motor ligeros,,,,
,10108,Concesionario Oficial Nissan Blendio Parayas Santander,Polígono Industrial de Candina,Concesionario Oficial Nissan Blendio Parayas Santander,,,Concesionario automóviles Santander,Concesionario,Automóviles,Av. Parayas - PI CANDINA,18,39011,,autogomas@autogomas.com,942343200,B42846998,Venta de automóviles y vehículos de motor ligeros,,,,
,10109,GLS Parayas,Polígono Industrial de Candina,GLS Parayas,,,Paquetería,Mensajería,Oficina,Av. Parayas - PI CANDINA,20,39011,,info@besayaexpress.es,900264674 - 635706413,,,,,,
,10110,Alvemaco Rent,Polígono Industrial de Candina,Alvemaco Rent,,,Agencia de alquiler de coches en Santander,Alquiler,Vehículos,Av. Parayas - PI CANDINA,26,39011,,rentacarsantander@alvemaco.es,942342856,B74085408,Alquiler de automóviles y vehículos de motor ligeros,,,,
,10111,Taller Oficial Carrera Motor Carrocería,Polígono Industrial de Candina,Taller Oficial Carrera Motor Carrocería,,,Servicio técnico automotriz en Santander,Concesionario,Automóviles,C/ Rio Hijar - PI CANDINA,S/N,39011,,carrera@carreramotor.com,942352140,A39295514,Venta de automóviles y vehículos de motor ligeros,,,,
,10112,Duque Solaeta S.L.,Polígono Industrial de Candina,Duque Solaeta S.L.,,,Trasteros y almacenamiento en Santander,Alquiler,Trasteros,C/ Rio Hijar - PI CANDINA,4,39011,,trasteros@duque1.com,659816997,B39870555,Transporte de mercancías por carretera,,,,
,10113,Honda Tecnocas – Santander,Polígono Industrial de Candina,Honda Tecnocas – Santander,,,Concesionario Honda Santander,Concesionario,Automóviles,C/ Peña Bejo - PI CANDINA,2,39011,,gerencia.tecnocas@hondared-auto.com,942336022,A39290846,Venta de automóviles y vehículos de motor ligeros,,,,
,10114,Sonepar Santander,Polígono Industrial de Candina,Sonepar Santander,,,Tienda de electricidad en Santander,Almacén,Electricidad,C/ Peña Bejo - PI CANDINA,8,39011,,santander@sonepar.es,942355007,A96933510,Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes,,,,
,10115,Electro Crisol Metal,Polígono Industrial de Candina,Electro Crisol Metal,,,Almacén en Santander,Fábrica,Fundición,C/ Marie Curie - PI CANDINA,2,39011,,ecrimesa@ecrimesa.es,942334511,A39003355,Fundición de acero,,,,
,10116,Automóviles Jessicar,Polígono Industrial de Candina,Automóviles Jessicar,,,Taller de reparación de automóviles en Santander,Taller,Automóviles,C/ Marie Curie - PI CANDINA,29-30,39011,,automovilesjessicar@hotmail.com,942352595,B39669551,Mantenimiento y reparación de vehículos de motor,,,,
,10117,El Diario Montañes,Polígono Industrial de Candina,El Diario Montañes,,,Periódico,Prensa,,Av. Parayas - PI CANDINA,38,39011,,internet.dm@eldiariomontanes.es info.clientes@eldiariomontanes.es,942354000,A39000641,Edición de periódicos,,,,
,10118,Lexus Santander,Polígono Industrial de Candina,Lexus Santander,,,Concesionario Automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,44,39011,,admon@megapremium.com,942352250,B39576822,Venta de automóviles y vehículos de motor ligeros,,,,
,10119,Concesionario Oficial Toyota Megamotor,Polígono Industrial de Candina,Concesionario Oficial Toyota Megamotor,,,Concesionario automóviles,Concesionario,Automóviles,Av. Parayas - PI CANDINA,42,39011,,ventas@mega-motor.com,942324100,H39317797,Venta de automóviles y vehículos de motor ligeros,,,,
,10120,Hispanofil,Polígono Industrial de Candina,Hispanofil,,,Mayorista de productos electrónicos en Santander,Almacén,Electricidad,Av. Parayas - PI CANDINA,20,39011,,hispanofil@sonepar.es,942355007,A48116404,Comercio al por mayor no especializado,,,,
,10121,INV Seguridad,Polígono Industrial de Candina,INV Seguridad,,,Proyectos y sistemas de seguridad,Seguridad,,C/ Marie Curie - PI CANDINA,34,39011,,cliente@invseguridad.com,942210750,B87997680,Actividades de las sociedades holding,,,,
